GO_0003674|molecular_function
GO_0005575|cellular_component
GO_0008150|biological_process
GO_0000001|mitochondrion inheritance
GO_0048308|organelle inheritance
GO_0048311|mitochondrion distribution
GO_0000002|mitochondrial genome maintenance
GO_0007005|mitochondrion organization
GO_0000003|reproduction
GO_0044848|biological phase
GO_0000004|
GO_0000005|obsolete ribosomal chaperone activity
GO_0000006|high-affinity zinc transmembrane transporter activity
GO_0005385|zinc ion transmembrane transporter activity
GO_0000007|low-affinity zinc ion transmembrane transporter activity
GO_0000008|obsolete thioredoxin
GO_0000009|alpha-1,6-mannosyltransferase activity
GO_0000030|mannosyltransferase activity
GO_0000010|trans-hexaprenyltranstransferase activity
GO_0004659|prenyltransferase activity
GO_0000011|vacuole inheritance
GO_0007033|vacuole organization
GO_0000012|single strand break repair
GO_0006281|DNA repair
GO_0000013|
GO_0000014|single-stranded DNA endodeoxyribonuclease activity
GO_0004520|DNA endonuclease activity
GO_0000015|phosphopyruvate hydratase complex
GO_1902494|catalytic complex
GO_0005829|cytosol
GO_0000016|lactase activity
GO_0004553|hydrolase activity, hydrolyzing O-glycosyl compounds
GO_0000017|alpha-glucoside transport
GO_0042946|glucoside transport
GO_0000018|regulation of DNA recombination
GO_0006310|DNA recombination
GO_0065007|biological regulation
GO_0051052|regulation of DNA metabolic process
GO_0000019|regulation of mitotic recombination
GO_0006312|mitotic recombination
GO_0000020|obsolete negative regulation of recombination within rDNA repeats
GO_0000021|
GO_0007131|reciprocal meiotic recombination
GO_0000022|mitotic spindle elongation
GO_0000278|mitotic cell cycle
GO_0051231|spindle elongation
GO_1903047|mitotic cell cycle process
GO_0000070|mitotic sister chromatid segregation
GO_0007052|mitotic spindle organization
GO_0000023|maltose metabolic process
GO_0005984|disaccharide metabolic process
GO_0000024|maltose biosynthetic process
GO_0046351|disaccharide biosynthetic process
GO_0000025|maltose catabolic process
GO_0046352|disaccharide catabolic process
GO_0000026|alpha-1,2-mannosyltransferase activity
GO_0000027|ribosomal large subunit assembly
GO_0022618|protein-RNA complex assembly
GO_0042255|ribosome assembly
GO_0042273|ribosomal large subunit biogenesis
GO_0000028|ribosomal small subunit assembly
GO_0042274|ribosomal small subunit biogenesis
GO_0000029|
GO_0006450|regulation of translational fidelity
GO_0016758|hexosyltransferase activity
GO_0000031|mannosylphosphate transferase activity
GO_0000032|cell wall mannoprotein biosynthetic process
GO_0006057|mannoprotein biosynthetic process
GO_0031506|cell wall glycoprotein biosynthetic process
GO_0000033|alpha-1,3-mannosyltransferase activity
GO_0000034|adenine deaminase activity
GO_0016814|hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines
GO_0019239|deaminase activity
GO_0000035|acyl binding
GO_0005488|binding
GO_0000036|acyl carrier activity
GO_0006633|fatty acid biosynthetic process
GO_0140414|phosphopantetheine-dependent carrier activity
GO_0044620|ACP phosphopantetheine attachment site binding
GO_0000037|
GO_0000038|very long-chain fatty acid metabolic process
GO_0006631|fatty acid metabolic process
GO_0000039|obsolete plasma membrane long-chain fatty acid transporter
GO_0000040|
GO_0034755|iron ion transmembrane transport
GO_0000041|transition metal ion transport
GO_0030001|metal ion transport
GO_0000042|
GO_0034067|protein localization to Golgi apparatus
GO_0000043|
GO_0008412|4-hydroxybenzoate octaprenyltransferase activity
GO_0000044|obsolete ascorbate stabilization
GO_0000045|autophagosome assembly
GO_0070925|organelle assembly
GO_1905037|autophagosome organization
GO_0019778|Atg12 activating enzyme activity
GO_0019786|protein-phosphatidylethanolamide deconjugating activity
GO_0061651|Atg12 conjugating enzyme activity
GO_0061660|Atg12 ligase activity
GO_0000046|
GO_0097352|autophagosome maturation
GO_0000047|obsolete Rieske iron-sulfur protein
GO_0000048|peptidyltransferase activity
GO_0016755|aminoacyltransferase activity
GO_0140096|catalytic activity, acting on a protein
GO_0140101|catalytic activity, acting on a tRNA
GO_0000049|tRNA binding
GO_0003723|RNA binding
GO_0000050|urea cycle
GO_0019627|urea metabolic process
GO_0043604|amide biosynthetic process
GO_1901566|organonitrogen compound biosynthetic process
GO_0000051|obsolete urea cycle intermediate metabolic process
GO_0000052|citrulline metabolic process
GO_1901605|alpha-amino acid metabolic process
GO_0000053|argininosuccinate metabolic process
GO_0006575|cellular modified amino acid metabolic process
GO_0072350|tricarboxylic acid metabolic process
GO_0000054|ribosomal subunit export from nucleus
GO_0031503|protein-containing complex localization
GO_0033750|ribosome localization
GO_0051168|nuclear export
GO_0051656|establishment of organelle localization
GO_0042254|ribosome biogenesis
GO_0000055|ribosomal large subunit export from nucleus
GO_0000056|ribosomal small subunit export from nucleus
GO_0000057|
GO_0000058|
GO_0000059|obsolete protein import into nucleus, docking
GO_0000060|obsolete protein import into nucleus, translocation
GO_0000061|obsolete protein import into nucleus, substrate release
GO_0000062|fatty-acyl-CoA binding
GO_0120227|acyl-CoA binding
GO_1901567|fatty acid derivative binding
GO_0000063|
GO_0006913|nucleocytoplasmic transport
GO_0000064|L-ornithine transmembrane transporter activity
GO_0015179|L-amino acid transmembrane transporter activity
GO_1903352|L-ornithine transmembrane transport
GO_0000065|
GO_0030473|nuclear migration along microtubule
GO_0000066|
GO_1990575|mitochondrial L-ornithine transmembrane transport
GO_0000067|obsolete DNA replication and chromosome cycle
GO_0000068|
GO_0030261|chromosome condensation
GO_0000069|
GO_0051382|kinetochore assembly
GO_0140014|mitotic nuclear division
GO_0098813|nuclear chromosome segregation
GO_0000819|sister chromatid segregation
GO_0000071|
GO_0000072|obsolete M phase specific microtubule process
GO_0000073|initial mitotic spindle pole body separation
GO_0110100|spindle pole body separation
GO_0061804|mitotic spindle formation (spindle phase one)
GO_1905047|mitotic spindle pole body organization
GO_0000074|
GO_0051726|regulation of cell cycle
GO_0000075|cell cycle checkpoint signaling
GO_0044770|cell cycle phase transition
GO_0035556|intracellular signal transduction
GO_1901988|negative regulation of cell cycle phase transition
GO_0000076|DNA replication checkpoint signaling
GO_0031570|DNA integrity checkpoint signaling
GO_0000077|DNA damage checkpoint signaling
GO_0042770|signal transduction in response to DNA damage
GO_0000078|obsolete cytokinesis after mitosis checkpoint
GO_0000079|regulation of cyclin-dependent protein serine/threonine kinase activity
GO_0004693|cyclin-dependent protein serine/threonine kinase activity
GO_0071900|regulation of protein serine/threonine kinase activity
GO_1904029|regulation of cyclin-dependent protein kinase activity
GO_0000080|mitotic G1 phase
GO_0051318|G1 phase
GO_0051329|mitotic interphase
GO_0000081|
GO_0007089|traversing start control point of mitotic cell cycle
GO_0000082|G1/S transition of mitotic cell cycle
GO_0044843|cell cycle G1/S phase transition
GO_0044772|mitotic cell cycle phase transition
GO_0000083|obsolete regulation of transcription involved in G1/S transition of mitotic cell cycle
GO_0000084|mitotic S phase
GO_0051320|S phase
GO_0000085|mitotic G2 phase
GO_0051319|G2 phase
GO_0000086|G2/M transition of mitotic cell cycle
GO_0044839|cell cycle G2/M phase transition
GO_0000087|mitotic M phase
GO_0000279|M phase
GO_0098763|mitotic cell cycle phase
GO_0000088|mitotic prophase
GO_0051324|prophase
GO_0000089|mitotic metaphase
GO_0051323|metaphase
GO_0000090|mitotic anaphase
GO_0051322|anaphase
GO_0000091|mitotic anaphase A
GO_0000092|mitotic anaphase B
GO_0000093|mitotic telophase
GO_0051326|telophase
GO_0000094|obsolete septin assembly and septum formation
GO_0000095|S-adenosyl-L-methionine transmembrane transporter activity
GO_0015101|organic cation transmembrane transporter activity
GO_1901682|sulfur compound transmembrane transporter activity
GO_1901962|S-adenosyl-L-methionine transmembrane transport
GO_0000096|sulfur amino acid metabolic process
GO_0006790|sulfur compound metabolic process
GO_0019752|carboxylic acid metabolic process
GO_1901564|organonitrogen compound metabolic process
GO_0000097|sulfur amino acid biosynthetic process
GO_0044272|sulfur compound biosynthetic process
GO_0046394|carboxylic acid biosynthetic process
GO_0000098|sulfur amino acid catabolic process
GO_0044273|sulfur compound catabolic process
GO_0046395|carboxylic acid catabolic process
GO_1901565|organonitrogen compound catabolic process
GO_0000099|sulfur amino acid transmembrane transporter activity
GO_0015171|amino acid transmembrane transporter activity
GO_0000100|S-methylmethionine transmembrane transporter activity
GO_0072349|modified amino acid transmembrane transporter activity
GO_0015806|S-methylmethionine transport
GO_0000101|sulfur amino acid transport
GO_0006865|amino acid transport
GO_0072348|sulfur compound transport
GO_0000102|L-methionine secondary active transmembrane transporter activity
GO_0005294|neutral L-amino acid secondary active transmembrane transporter activity
GO_0015191|L-methionine transmembrane transporter activity
GO_1901680|sulfur-containing amino acid secondary active transmembrane transporter activity
GO_0000103|sulfate assimilation
GO_0000104|succinate dehydrogenase activity
GO_0016627|oxidoreductase activity, acting on the CH-CH group of donors
GO_0000105|histidine biosynthetic process
GO_0006547|histidine metabolic process
GO_0008652|amino acid biosynthetic process
GO_0000106|
GO_0018271|biotin-protein ligase activity
GO_0000107|imidazoleglycerol-phosphate synthase activity
GO_0016763|pentosyltransferase activity
GO_0000108|obsolete repairosome
GO_0000109|nucleotide-excision repair complex
GO_0140513|nuclear protein-containing complex
GO_0000110|nucleotide-excision repair factor 1 complex
GO_0000111|nucleotide-excision repair factor 2 complex
GO_0000112|nucleotide-excision repair factor 3 complex
GO_0000439|transcription factor TFIIH core complex
GO_0000113|nucleotide-excision repair factor 4 complex
GO_0000114|obsolete regulation of transcription involved in G1 phase of mitotic cell cycle
GO_0000115|obsolete regulation of transcription involved in S phase of mitotic cell cycle
GO_0000116|obsolete regulation of transcription involved in G2-phase of mitotic cell cycle
GO_0000117|obsolete regulation of transcription involved in G2/M transition of mitotic cell cycle
GO_0000118|histone deacetylase complex
GO_0005654|nucleoplasm
GO_0000119|
GO_0016592|mediator complex
GO_0000120|RNA polymerase I transcription regulator complex
GO_0005667|transcription regulator complex
GO_0005730|nucleolus
GO_0000121|glycerol-1-phosphatase activity
GO_0016791|phosphatase activity
